"","sampleid2","ID","KMP.ID","Birthday","Month","Treatment","Sex","Rank","Cohort","Age.Days","Age.Months","Group","Litter","Mother","days.RX","Capture.Birth","Preg.stage","Littercode","Preg.end","Outcome","Litter.Size","Sex.Ratio","Capture.Date","Average.Weight.5.days","Group.size","Total.monthly.Rainfall","Average.monthly.AirTempMin","Average.monthly..AirTempMax","Cap.time","Bleed.St","Bleed.end","Cap.Bleed","Blood.Sample.no","E.pg.ml","A4.ng.ml","T.ng.ml","S.ng.ml","IGF.1.ng.ml","Morpometric.observor","HF.1","HF.2","HF.3","HINDFOOT.avrg","HF.w.o.C.1","HF.w.o.C.2","HF.w.o.C.3","HINDFOOT.w.o.CLAW.avrg","FA.1","FA.2","FA.3","FOREARM.avrg","W.1","W.2","W.3","WRIST.avrg","W.w.o.C.1","W.w.o.C.2","W.w.o.C.3","WRIST.w.o.CLAW.avrg","SW.1","SW.2","SW.3","SKULL.WIDTH.avrg","SL.1","SL.2","SL.3","SKULL.LENGTH.avrg","AGD1","AGD2","AGD3","AGD.AVRG","AGD.observor","BODY.LENGTH..CM.","MORPHS","X2D4D","Extraction.no.","date","ConditionResiduals","ConditionResiduals_scaled","Total.monthly.Rainfall_scaled"
"121",135,135,"VDF166","26-Oct-12","24-Jan-13","C","F","S",2,92,3,"DRIE DORING","VD1202","VDF115",NA,NA,NA,NA,NA,NA,NA,NA,"26-Jan-13",303.8,15.7,6.4,19.24148969,38.50365688,NA,NA,NA,NA,"3314",NA,0.38,NA,NA,81.62,"JETU",NA,NA,NA,65.88,NA,NA,NA,60.18,NA,NA,NA,48.01,NA,NA,NA,46.49,NA,NA,NA,37.47,NA,NA,NA,31.93,NA,NA,NA,64.37,NA,NA,NA,2.09,"JETU",NA,"YES",NA,NA,2013-01-24,-145.376933687326,-1.04078566750121,-0.246253057100679
"122",136,136,"VVHM056","26-Jan-12","20-Jan-13","C","M","S",1,372,12,"VAN HELSING","VVH1201","VWF093",NA,NA,NA,NA,NA,NA,NA,NA,"1-Feb-13",483.5,21.4,6.4,19.69888906,38.52220969,"6:42:00","6:46:00","6:47:00",4,"3321",102.956,0.17,0.743,2355.2795,54.14,"JETU",64.72,64.66,64.76,64.71333333,59.31,59.22,59.22,59.25,58.95,58.9,59.01,58.95333333,51.4,"51.48",51.44,51.44,37.86,37.87,37.79,37.84,35.32,36.38,35.34,35.34666667,72.57,72.6,"72.6",72.59,3.79,3.81,3.74,3.78,"JETU",NA,"YES",NA,NA,2013-01-20,36.5549206923436,0.276042295657039,-0.246253057100679
"123",137,137,"VVHM060","26-Jan-12","20-Jan-13","C","M","S",1,372,12,"VAN HELSING","VVH1201","VWF093",NA,NA,NA,NA,NA,NA,NA,NA,"1-Feb-13",436.75,21.4,6.4,19.69888906,38.52220969,"6:21:00","6:29:00","6:31:00",8,"3320",127.8106667,0.449,1.87,2589.538,24.78,"JETU",63.59,63.62,63.63,63.61333333,57.09,57.11,57.04,57.08,59.85,59.86,59.84,59.85,50.77,"50.76",50.69,50.74,35.7,35.79,35.71,35.73333333,33.88,34.88,33.86,33.87333333,70.02,70.09,"70.2",70.1,3.64,3.59,3.59,3.606666667,"JETU",NA,"YES",NA,NA,2013-01-20,3.9157079164059,0.0397987404787789,-0.246253057100679
"124",138,138,"VBBF083","11-Feb-12","5-Feb-13","C","F","S",1,363,12,"BAOBAB","VBB1201","VWF075",NA,NA,NA,NA,NA,NA,NA,NA,"8-Feb-13",413.6666667,30.4,4.2,19.80572656,38.75482,"6:36:00","6:42:00","6:44:00",6,"3324",116.684,0.318,0.022,517.764,22.76,"CLEO",68.17,68.63,68.25,68.35,62.03,61.4,61.83,61.75333333,59.08,58.93,58.89,58.96666667,53.07,"53.09",53.03,53.06333333,31.46,30.46,31.53,31.15,34.57,35.41,34.34,34.44,71.26,71.87,"71.5",71.54,3.01,3.01,2.93,2.983333333,"CLEO",NA,"YES",NA,NA,2013-02-05,-65.0370362946677,-0.459283193376264,-0.283052812779144
"125",139,139,"VBBM084","11-Feb-12","5-Feb-13","C","M","S",1,364,12,"BAOBAB","VBB1201","VWF075",NA,NA,NA,NA,NA,NA,NA,NA,"9-Feb-13",402.6666667,30.4,2.6,19.72812625,38.73149688,"7:00:00","7:09:00","7:12:00",9,"3326",10,0.142,0.022,2622.5395,22.86,"CLEO",68.5,68.94,69.03,68.82333333,63.68,62.9,63.19,63.25666667,60.05,60.22,59.94,60.07,52.57,"52.43",52.73,52.57666667,39.34,39.23,39.19,39.25333333,32.87,33.83,32.73,32.81,69.29,69.93,"69.67",69.63,5.51,5.51,5.3,5.44,"CLEO",NA,"YES",NA,NA,2013-02-05,-97.0014448721076,-0.690642496474159,-0.309816271454391
"126",140,140,"VBBM085","11-Feb-12","5-Feb-13","C","M","S",1,364,12,"BAOBAB","VBB1201","VWF075",NA,NA,NA,NA,NA,NA,NA,NA,"9-Feb-13",377,30.4,2.6,19.72812625,38.73149688,"6:36:00","6:41:00","6:45:00",5,"3325",NA,0.068,0.022,NA,NA,"JETU",66.5,66.53,66.51,66.51333333,61.11,61.19,61.06,61.12,56.77,56.72,56.82,56.77,51.06,"51.05",51.17,51.09333333,39.54,39.58,39.64,39.58666667,34.44,35.47,34.4,34.43666667,71.28,71.28,"71.28",71.28,3.64,3.54,3.52,3.566666667,"JETU",NA,"YES",NA,NA,2013-02-05,-93.0354584015766,-0.661936573018865,-0.309816271454391
"127",143,143,"VDF162","15-Feb-12","9-Feb-13","F","F","S",1,370,12,"DRIE DORING","VD1201","VDF115",10,NA,NA,NA,NA,NA,NA,NA,"19-Feb-13",540.5,16,4.4,19.65510531,38.96196031,"7:40:00","7:43:00","7:45:00",3,"3333",249.4453333,1.246,1.101333333,2359.294,82.36,"JETU",69.18,69.12,69.12,69.14,62.82,62.97,62.82,62.87,61.05,61.16,61.19,61.13333333,55.91,"55.86",55.8,55.85666667,41.25,41.2,41.2,41.21666667,37.51,38.72,37.54,37.59,73.67,73.68,NA,73.68,4.23,4.16,4.24,4.21,NA,NA,"YES",NA,NA,2013-02-09,52.3525124900286,0.390385716718082,-0.279707380444738
"128",144,144,"VDF163","15-Feb-12","9-Feb-13","F","F","S",1,371,12,"DRIE DORING","VD1201","VDF115",10,NA,NA,NA,NA,NA,NA,NA,"20-Feb-13",493,16,2.2,19.55318063,38.83427969,"7:50:00","7:53:00","7:54:00",3,"3335",455.0265,5.988,4.3155,2355.9865,72.42,"JETU",70.54,70.57,70.53,70.54666667,64.3,64.39,64.37,64.35333333,60.91,60.87,60.89,60.89,56.39,"56.38",56.29,56.35333333,42.86,42.72,42.78,42.78666667,36.07,37.12,36.06,36.08333333,74.4,74.46,"74.49",74.45,3.78,3.71,3.76,3.75,"CLEO",NA,"YES",NA,NA,2013-02-09,-11.9630025939456,-0.0751318201436066,-0.316507136123203
"129",145,145,"VDM161","15-Feb-12","9-Feb-13","F","M","S",1,371,12,"DRIE DORING","VD1201","VDF115",10,NA,NA,NA,NA,NA,NA,NA,"20-Feb-13",461.4,16,2.2,19.55318063,38.83427969,"7:21:00","7:29:00","7:31:00",8,"3334",149.552,0.282333333,1.752,1093.7745,47.74,"CLEO",68.91,69.12,69.12,69.05,63.03,63.14,NA,63.085,62.18,62.12,62.05,62.11666667,51.21,"51.27",51.11,51.19666667,39.95,39.79,39.78,39.84,36.23,NA,NA,36.23,NA,NA,NA,NA,4.55,4.85,4.8,4.733333333,"CLEO",NA,"YES",NA,NA,2013-02-09,-41.1757889822501,-0.286574803171798,-0.316507136123203
"130",150,150,"VWF176","14-Mar-12","9-Mar-13","S","F","S",1,360,12,"WHISKERS","VW1203","VWF161",NA,NA,NA,NA,NA,NA,NA,NA,"9-Mar-13",432.3333333,9.6,4,17.76798906,37.65191063,"7:22:00","7:31:00","7:32:00",9,"3345",552.668,12.42,10.67657143,131.9885,NA,"JETU",67.1,67.05,67.06,67.07,61.62,61.7,61.66,61.66,59.68,59.76,59.77,59.73666667,54.92,"54.91",54.98,54.93666667,39.79,39.78,39.64,39.73666667,35.76,36.74,35.66,35.72,72.83,72.85,"72.88",72.85,3.85,3.8,3.9,3.85,"JETU",NA,"YES",NA,NA,2013-03-09,-31.069047948353,-0.213421922631919,-0.28639824511355
"131",151,151,"VWM175","14-Mar-12","9-Mar-13","S","M","S",1,362,12,"WHISKERS","VW1203","VWF161",NA,NA,NA,NA,NA,NA,NA,NA,"11-Mar-13",409.75,9.6,4,17.41046438,37.5297625,"6:51:00","6:56:00","7:00:00",5,"3348",NA,0.201,NA,1041.636,NA,"JETU",65.83,65.8,65.78,65.80333333,59.38,59.45,59.34,59.39,56.84,56.87,56.78,56.83,51.76,"51.71",51.81,51.76,38.32,38.32,38.4,38.34666667,36.44,37.51,36.55,36.5,69.76,69.95,"69.93",69.88,3.97,3.91,4.14,4.006666667,"JETU",NA,"YES",NA,69,2013-03-09,-51.1775866478637,-0.358968100611868,-0.28639824511355
"132",152,152,"VWF177","14-Mar-12","9-Mar-13","S","F","S",1,362,12,"WHISKERS","VW1203","VWF161",NA,-12,"PP","VW1301A","27-Feb-13","Aborted",NA,NA,"11-Mar-13",420.5,9.6,4,17.41046438,37.5297625,"7:17:00","7:23:00","7:25:00",6,"3349",10,0.37,0.022,NA,NA,"JETU",65.18,65.13,65.12,65.14333333,60,59.99,59.92,59.97,58.77,58.75,58.65,58.72333333,50.81,"50.8",50.79,50.8,38.69,38.57,38.58,38.61333333,35.66,36.8,35.72,35.72666667,71.23,71.21,"71.3",71.25,3.22,3.45,3.4,3.356666667,"JETU",NA,"YES",NA,73,2013-03-09,-19.8707042049385,-0.132367990473273,-0.28639824511355
"133",153,153,"VAZF052","17-Mar-12","12-Mar-13","S","F","S",1,366,12,"MAYANS","VAZ1201A","VAZF018",NA,NA,NA,NA,NA,NA,NA,NA,"18-Mar-13",502.6,14,3.6,16.84737313,36.91015219,"7:45:00","7:50:00","7:51:00",5,"3352",116.03,1.16,NA,NA,NA,"JETU",67.83,67.52,67.34,67.56333333,61.7,61.77,61.62,61.69666667,59.35,59.44,59.35,59.38,54.6,"54.6",54.55,54.58333333,38.86,38.82,38.89,38.85666667,36.29,37.13,36.15,36.19,72.51,72.57,"72.46",72.51,3.96,3.85,3.91,3.906666667,"JETU",NA,"YES",NA,8,2013-03-12,33.3002343684353,0.252484782998002,-0.293089109782362
"134",154,154,"VAZM051","17-Mar-12","12-Mar-13","S","M","S",1,366,12,"MAYANS","VAZ1201A","VAZF018",NA,NA,NA,NA,NA,NA,NA,NA,"18-Mar-13",504.3333333,14,3.6,16.84737313,36.91015219,"8:15:00","8:21:00","8:23:00",6,"3353",NA,NA,NA,NA,NA,"JETU",66.87,66.54,66.6,66.67,61.75,61.63,61.83,61.73666667,59.86,59.84,59.9,59.86666667,52.46,"52.66",52.62,52.58,40.43,40.52,40.52,40.49,35.01,36.2,35.13,35.11333333,72.95,72.98,"72.97",72.97,4.52,4.34,4.42,4.426666667,"JETU",NA,"YES",NA,4,2013-03-12,32.2881566752666,0.245159335721067,-0.293089109782362
"135",155,155,"VDF166","26-Oct-12","24-Apr-13","C","F","S",2,182,6,"DRIE DORING","VD1202","VDF115",NA,NA,NA,NA,NA,NA,NA,NA,"26-Apr-13",386.25,14.9,78.199998,11.12888631,28.26150094,"7:50:00","7:58:00","7:59:00",8,"3367",10,0.148,0.022,NA,72,"LEW",66.57,66.39,67.02,66.66,61.18,61.13,61.55,61.28666667,53.77,53.35,53.75,53.62333333,49.46,"49.43",49.87,49.58666667,38.68,38.83,38.68,38.73,34.81,36.2,34.85,34.95333333,70.25,70.61,"70.65",70.5,4.32,4.29,4.28,4.296666667,"JETU",NA,"YES",NA,NA,2013-04-24,-72.2511766264866,-0.511499347339395,0.954757117496716
"136",175,175,"VJXF058","9-Oct-12","6-Jul-13","S","F","S",2,273,9,"JAXX","VJX1203","VJXF032",NA,NA,NA,NA,NA,NA,NA,NA,"9-Jul-13",398.5,15.9,15.399998,1.402032228,23.18132156,"8:42:00","8:46:00","8:47:00",4,"3429",52.88533333,0.476,0.022,NA,22.58,"CHA",63.64,63.66,63.97,63.75666667,58.3,58.5,58.39,58.39666667,56.45,56.11,56.3,56.28666667,47.92,"47.4",48.13,47.81666667,36.68,36.99,36.62,36.76333333,34.8,35.84,34.88,34.84,69.59,69.53,"69.39",69.5,4.76,4.8,4.85,4.803333333,"CHA",NA,"YES",0.924840017,NA,2013-07-06,-25.2942723927919,-0.171623932068617,-0.095708635506737
"137",180,180,"VDF166","26-Oct-12","23-Jul-13","C","F","S",2,269,9,"DRIE DORING","VD1202","VDF115",NA,NA,NA,NA,NA,NA,NA,NA,"22-Jul-13",480,13.3,15.399998,2.580012991,23.63686094,"9:12:00","9:23:00","9:24:00",11,"3461",54.992,0.882,0.022,NA,NA,"CHA",69.99,69.31,69.69,69.66333333,63.91,64.04,64.03,63.99333333,60.78,60.64,60.72,60.71333333,49.94,"50.33",49.92,50.06333333,40.68,39.97,39.82,40.15666667,36.85,37.66,36.71,36.74,72.86,72.69,"72.88",72.81,NA,NA,NA,NA,NA,NA,"YES",NA,NA,2013-07-23,-14.4034966216122,-0.0927961856859127,-0.095708635506737
"138",190,190,"VJXF058","9-Oct-12","4-Oct-13","S","F","S",2,364,12,"JAXX","VJX1203","VJXF032",NA,NA,NA,NA,NA,NA,NA,NA,"8-Oct-13",446.6,7.7,0,6.546122091,29.09430844,"6:58:00","7:12:00","7:17:00",14,"3543",421.024,0.655666667,0.022,3008.262,78.88,"CHA",65.34,65.28,65.39,65.33666667,61.05,60.74,60.82,60.87,59.16,58.95,58.77,58.96,47.3,"47.21",47.44,47.31666667,36.99,37.34,37.12,37.15,35.94,NA,NA,35.94,NA,NA,NA,NA,5.17,5.64,5.33,5.38,"CHA",NA,"YES",NA,NA,2013-10-04,3.91815857660096,0.0398164784273314,-0.353306891801668
"139",193,193,"VJXF057","9-Oct-12","4-Oct-13","S","F","S",2,370,12,"BAOBAB","VJX1203","VJXF032",NA,NA,NA,NA,NA,NA,NA,NA,"14-Oct-13",450,12,0,6.803581184,30.36314875,"7:31:00","7:41:00","7:42:00",10,"3566",180.758,0.931,2.449333333,3437.049,NA,"CHA",67.34,67.48,67.35,67.39,61.52,61.6,61.56,61.56,60.88,60.8,60.73,60.80333333,48.13,"48.38",48.28,48.26333333,36.89,36.71,36.82,36.80666667,37.44,38.39,37.09,37.30666667,72.71,72.94,"72.7",72.78,4.95,4.75,4.85,4.85,"CHA",NA,"YES",1.067080645,NA,2013-10-04,-17.2277116849317,-0.113237935054282,-0.353306891801668
"140",199,199,"VBBM089","27-Sep-13","27-Oct-13","S","M","S",3,25,1,"BAOBAB","VBB1303","VBBF083",NA,NA,NA,NA,NA,NA,NA,NA,"22-Oct-13",163.75,10,0,7.883309034,30.34836375,"10:43:00","11:18:00","11:23:00",35,"3584",NA,1.14,0.576,NA,NA,"CHA",NA,NA,NA,41.34,NA,NA,NA,39.6,NA,NA,NA,31.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.29,NA,NA,NA,51.31,NA,NA,NA,3.61,"CHA",NA,"YES",NA,NA,2013-10-27,16.6377691802662,0.131881383611205,-0.353306891801668
"141",200,200,"VBBF088","27-Sep-13","27-Oct-13","S","F","S",3,25,1,"BAOBAB","VBB1303","VBBF083",NA,NA,NA,NA,NA,NA,NA,NA,"22-Oct-13",153.5,10,0,7.883309034,30.34836375,"11:35:00","11:49:00","11:53:00",14,"3585",NA,1.455,0.63,NA,NA,"CHA",NA,NA,NA,38.57,NA,NA,NA,37.07,NA,NA,NA,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.07,NA,NA,NA,50.4,NA,NA,NA,2.51,"CHA",NA,"YES",NA,NA,2013-10-27,30.7911107594355,0.23432367458399,-0.353306891801668
"142",201,201,"VBBM090","27-Sep-13","27-Oct-13","S","M","S",3,25,1,"BAOBAB","VBB1303","VBBF083",NA,NA,NA,NA,NA,NA,NA,NA,"22-Oct-13",155.75,10,0,7.883309034,30.34836375,"10:43:00","10:57:00","11:03:00",14,"3583",NA,0.888,0.339,NA,266.7,"CHA",NA,NA,NA,39.05,NA,NA,NA,37.02,NA,NA,NA,31.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA,NA,NA,49.91,NA,NA,NA,3.06,"CHA",NA,"YES",NA,NA,2013-10-27,38.0138625830871,0.286602158771195,-0.353306891801668
"143",204,204,"VMYF004","29-Oct-13","28-Nov-13","S","F","S",3,27,1,"MAYANS","VMY1206","VAZF052",NA,NA,NA,NA,NA,NA,NA,NA,"25-Nov-13",116.25,9.1,5,12.76459941,33.90539156,"9:25:00",NA,NA,NA,"3677",NA,0.704,NA,NA,NA,"CHA",NA,NA,NA,42.76,NA,NA,NA,40.01,NA,NA,NA,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.54,NA,NA,NA,46.9,NA,NA,NA,2.55,"CHA","14.4","YES",NA,NA,2013-11-28,-56.5468096445165,-0.397830690159654,-0.269671083441521
"144",205,205,"VMYF005","29-Oct-13","28-Nov-13","S","F","S",3,29,1,"MAYANS","VMY1206","VAZF052",NA,NA,NA,NA,NA,NA,NA,NA,"27-Nov-13",157.25,9.1,5.8,13.26506725,34.26234344,"7:20:00","7:33:00",NA,13,"3679",NA,1.016,0.159,NA,192.24,"CHA",NA,NA,NA,42.5,NA,NA,NA,39.63,NA,NA,NA,34.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.97,NA,NA,NA,52,NA,NA,NA,2.97,"CHA","~16.8","YES",NA,NA,2013-11-28,-12.4387286647964,-0.0785751390447174,-0.256289354103897
"145",206,206,"VEKF021","5-Nov-13","5-Dec-13","C","F","S",3,24,1,"EWOKS","VEK1303","VKUF005",NA,NA,NA,NA,NA,NA,NA,NA,"29-Nov-13",127.8,9.8,5.8,13.60799688,34.4347625,"6:20:00","7:04:00",NA,44,"3682",NA,2.328,0.234,2429.825,239.44,"CHA",NA,NA,NA,37.5,NA,NA,NA,35.39,NA,NA,NA,29.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.71,NA,NA,NA,46.93,NA,NA,NA,4.13,"CHA",NA,"YES",NA,NA,2013-12-05,17.8820594067455,0.140887591842849,-0.256289354103897
"146",207,207,"VEKF022","5-Nov-13","5-Dec-13","C","F","S",3,24,1,"EWOKS","VEK1303","VKUF005",NA,NA,NA,NA,NA,NA,NA,NA,"29-Nov-13",122.3333333,9.8,5.8,13.60799688,34.4347625,"7:26:00","7:42:00",NA,18,"3683",NA,NA,0.102,NA,NA,"CHA",NA,NA,NA,34.94,NA,NA,NA,32.71,NA,NA,NA,29.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,NA,NA,NA,45.05,NA,NA,NA,3.71,"CHA",NA,"YES",NA,NA,2013-12-05,43.018036199375,0.322822510467687,-0.256289354103897
"147",208,208,"VEKF023","5-Nov-13","5-Dec-13","C","F","S",3,24,1,"EWOKS","VEK1303","VKUF005",NA,NA,NA,NA,NA,NA,NA,NA,"29-Nov-13",127,9.8,5.8,13.60799688,34.4347625,"6:20:00","6:36:00",NA,16,"3681",NA,0.336,NA,NA,NA,"CHA",NA,NA,NA,38.15,NA,NA,NA,34.65,NA,NA,NA,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.96,NA,NA,NA,44.71,NA,NA,NA,5.35,"CHA",NA,"YES",NA,NA,2013-12-05,9.31185695744507,0.0788562215056088,-0.256289354103897
"148",211,211,"VBBF088","27-Sep-13","26-Dec-13","S","F","S",3,91,3,"BAOBAB","VBB1303","VBBF083",NA,NA,NA,NA,NA,NA,NA,NA,"27-Dec-13",398.8333333,10.3,35.000022,17.67436281,34.14100563,"6:54:00","7:04:00","7:07:00",10,"3783",305.706,0.704,0.022,NA,89.84,"CHA",66.15,66.03,66.09,66.09,61.87,61.68,61.84,61.79666667,50.19,49.7,50.02,49.97,47.72,"47.4",47.32,47.48,37.78,37.61,37.36,37.58333333,35.1,36.49,35.04,35.21,68.75,68.5,"68.63",68.63,7.54,7.2,7.27,7.336666667,"CHA","27.2","YES",1.127397746,11,2013-12-26,-52.8539734863309,-0.371101836474073,0.232144134716922
"149",212,212,"VBBM089","27-Sep-13","26-Dec-13","S","M","S",3,91,3,"BAOBAB","VBB1303","VBBF083",NA,NA,NA,NA,NA,NA,NA,NA,"27-Dec-13",411.6666667,10.3,35.000022,17.67436281,34.14100563,"6:24:00","6:32:00","6:36:00",8,"3781",NA,0.602,2.307,NA,NA,"CHA",68.21,68.2,68.09,68.16666667,63.02,62.86,62.88,62.92,51.79,51.61,51.66,51.68666667,49.63,"49.59",49.45,49.55666667,39.91,39.82,39.67,39.8,34.61,35.74,34.76,34.70333333,69.39,69.45,"69.59",69.48,7.75,7.91,7.8,7.82,"CHA","28.8","YES",1.003435732,15,2013-12-26,-79.5777325844751,-0.564529168818536,0.232144134716922
"150",213,213,"VBBM090","27-Sep-13","26-Dec-13","S","M","S",3,92,3,"BAOBAB","VBB1303","VBBF083",NA,NA,NA,NA,NA,NA,NA,NA,"28-Dec-13",401.25,10.3,34.200022,17.65681094,34.06116375,"6:19:00","6:29:00","6:29:00",10,"3795",243.108,0.907,3.773,NA,110.18,"CHA",65.47,65.17,65.16,65.26666667,60.84,60.74,60.74,60.77333333,50,49.9,50,49.96666667,44.92,"44.83",44.65,44.8,38.18,37.91,37.84,37.97666667,32.97,33.38,32.61,32.65333333,67.97,68,"68.25",68.07,9.86,8.91,8.53,9.1,"CHA","26.9","YES",0.970097672,19,2013-12-26,-52.7932329664926,-0.370662194855003,0.218762405379298
"151",215,215,"VBBM094","15-Dec-13","14-Jan-14","C","M","S",3,22,1,"BAOBAB","VBB1304","VBBF069",NA,NA,NA,NA,NA,NA,NA,NA,"6-Jan-14",171.6666667,12.6,42.000022,18.43715531,34.26491781,"8:40:00","9:05:00",NA,25,"3836",NA,2.996,0.888,NA,NA,"CHA",NA,NA,NA,39.98,NA,NA,NA,37.63,NA,NA,NA,30.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.69,NA,NA,NA,47.98,NA,NA,NA,5.57,"LID",NA,"YES",NA,NA,2014-01-14,42.0005000845616,0.315457554978841,0.349234266421128
"152",216,216,"VBBM092","15-Dec-13","14-Jan-14","C","M","S",3,22,1,"BAOBAB","VBB1304","VBBF069",NA,NA,NA,NA,NA,NA,NA,NA,"6-Jan-14",149.5,12.6,42.000022,18.43715531,34.26491781,"9:31:00","9:39:00",NA,8,"3834",NA,1.054,2.436,NA,259.98,"CHA",NA,NA,NA,38.01,NA,NA,NA,36.18,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.11,NA,NA,NA,47.53,NA,NA,NA,4.06,"LID",NA,"YES",NA,NA,2014-01-14,45.1049705040188,0.337927800627013,0.349234266421128
"153",217,217,"VBBF093","15-Dec-13","14-Jan-14","C","F","S",3,22,1,"BAOBAB","VBB1304","VBBF069",NA,NA,NA,NA,NA,NA,NA,NA,"6-Jan-14",164.6666667,12.6,42.000022,18.43715531,34.26491781,"9:31:00","10:04:00",NA,33,"3835",NA,1.266,0.831,NA,NA,"CHA",NA,NA,NA,36.23,NA,NA,NA,34.86,NA,NA,NA,27.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,NA,NA,NA,45.94,NA,NA,NA,2.18,"LID",NA,"YES",NA,NA,2014-01-14,69.9305062769172,0.517615738275997,0.349234266421128
"154",218,218,"VBBM091","15-Dec-13","14-Jan-14","C","M","S",3,22,1,"BAOBAB","VBB1304","VBBF069",NA,NA,NA,NA,NA,NA,NA,NA,"6-Jan-14",181.6666667,12.6,42.000022,18.43715531,34.26491781,"8:40:00","8:50:00",NA,10,"3833",NA,0.615,1.452,NA,NA,"CHA",NA,NA,NA,39.26,NA,NA,NA,37.05,NA,NA,NA,29.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,NA,NA,NA,45.3,NA,NA,NA,3.83,"LID",NA,"YES",NA,NA,2014-01-14,61.2366517221297,0.454689370464214,0.349234266421128
"155",221,221,"VVHF069","2-Jan-14","1-Feb-14","C","F","S",3,22,1,"VAN HELSING","VVH1401","VVHF035",NA,NA,NA,NA,NA,NA,NA,NA,"24-Jan-14",113,7.3,35.400021,18.59846063,36.30585188,"7:13:00","7:26:00",NA,13,"3931",NA,0.93,0.2328,NA,NA,"CHA",NA,NA,NA,35.66,NA,NA,NA,32.59,NA,NA,NA,29.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.49,NA,NA,NA,47.12,NA,NA,NA,2.38,"LID",NA,"YES",NA,NA,2014-02-01,25.077709417073,0.192969912330415,0.238834982658572
"156",222,222,"VVHF070","2-Jan-14","1-Feb-14","C","F","S",3,22,1,"VAN HELSING","VVH1401","VVHF035",NA,NA,NA,NA,NA,NA,NA,NA,"24-Jan-14",120.5,7.3,35.400021,18.59846063,36.30585188,"7:13:00","7:42:00",NA,29,"3932",NA,1.176,0.496,NA,194.94,"CHA",NA,NA,NA,34.63,NA,NA,NA,32.88,NA,NA,NA,28.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.53,NA,NA,NA,46.88,NA,NA,NA,1.75,"LID",NA,"YES",NA,NA,2014-02-01,44.8904917598105,0.336375397344809,0.238834982658572
"157",223,223,"VVHF072","2-Jan-14","1-Feb-14","C","F","S",3,22,1,"VAN HELSING","VVH1401","VVHF035",NA,NA,NA,NA,NA,NA,NA,NA,"24-Jan-14",127,7.3,35.400021,18.59846063,36.30585188,"8:26:00","8:53:00",NA,27,"3934",NA,3.236,0.526,NA,NA,"CHA",NA,NA,NA,36.77,NA,NA,NA,35,NA,NA,NA,28.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.71,NA,NA,NA,46.35,NA,NA,NA,2.42,"LID",NA,"YES",NA,NA,2014-02-01,25.8085944651906,0.198260079203595,0.238834982658572
"158",224,224,"VVHM071","2-Jan-14","1-Feb-14","C","M","S",3,22,1,"VAN HELSING","VVH1401","VVHF035",NA,NA,NA,NA,NA,NA,NA,NA,"24-Jan-14",118,7.3,35.400021,18.59846063,36.30585188,"8:26:00","8:40:00",NA,14,"3933",NA,1.062,0.866,NA,244.18,"CHA",NA,NA,NA,34.74,NA,NA,NA,32.93,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.95,NA,NA,NA,45.99,NA,NA,NA,2.59,"LID",NA,"YES",NA,NA,2014-02-01,55.5524925246404,0.413547263691221,0.238834982658572
"159",225,225,"VVHF073","2-Jan-14","1-Feb-14","C","F","S",3,24,1,"VAN HELSING","VVH1401","VVHF035",NA,NA,NA,NA,NA,NA,NA,NA,"26-Jan-14",126.5,7.3,31.80002,18.41259156,36.784475,"7:04:00","7:15:00",NA,11,"3949",NA,1.068,0.273,NA,NA,"CHA",NA,NA,NA,38.55,NA,NA,NA,36.49,NA,NA,NA,27.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.13,NA,NA,NA,47.01,NA,NA,NA,1.8,"LID",NA,"YES",NA,NA,2014-02-01,4.03019391172175,0.0406273933858575,0.178617183912104
